size,sort_name,array_type,average_time
53300,Hybrid Merge+Insertion Sort,random,22
53400,Hybrid Merge+Insertion Sort,random,22
53500,Hybrid Merge+Insertion Sort,random,21
53600,Hybrid Merge+Insertion Sort,random,21
53700,Hybrid Merge+Insertion Sort,random,21
53800,Hybrid Merge+Insertion Sort,random,21
53900,Hybrid Merge+Insertion Sort,random,21
54000,Hybrid Merge+Insertion Sort,random,22
54100,Hybrid Merge+Insertion Sort,random,22
54200,Hybrid Merge+Insertion Sort,random,23
54300,Hybrid Merge+Insertion Sort,random,21
54400,Hybrid Merge+Insertion Sort,random,21
54500,Hybrid Merge+Insertion Sort,random,21
54600,Hybrid Merge+Insertion Sort,random,21
54700,Hybrid Merge+Insertion Sort,random,21
54800,Hybrid Merge+Insertion Sort,random,22
54900,Hybrid Merge+Insertion Sort,random,22
55000,Hybrid Merge+Insertion Sort,random,23
55100,Hybrid Merge+Insertion Sort,random,23
55200,Hybrid Merge+Insertion Sort,random,26
55300,Hybrid Merge+Insertion Sort,random,22
55400,Hybrid Merge+Insertion Sort,random,22
55500,Hybrid Merge+Insertion Sort,random,22
55600,Hybrid Merge+Insertion Sort,random,22
55700,Hybrid Merge+Insertion Sort,random,22
55800,Hybrid Merge+Insertion Sort,random,22
55900,Hybrid Merge+Insertion Sort,random,22
56000,Hybrid Merge+Insertion Sort,random,22
56100,Hybrid Merge+Insertion Sort,random,23
56200,Hybrid Merge+Insertion Sort,random,22
56300,Hybrid Merge+Insertion Sort,random,22
56400,Hybrid Merge+Insertion Sort,random,22
56500,Hybrid Merge+Insertion Sort,random,22
56600,Hybrid Merge+Insertion Sort,random,23
56700,Hybrid Merge+Insertion Sort,random,22
56800,Hybrid Merge+Insertion Sort,random,22
56900,Hybrid Merge+Insertion Sort,random,23
57000,Hybrid Merge+Insertion Sort,random,24
57100,Hybrid Merge+Insertion Sort,random,23
57200,Hybrid Merge+Insertion Sort,random,22
57300,Hybrid Merge+Insertion Sort,random,23
57400,Hybrid Merge+Insertion Sort,random,23
57500,Hybrid Merge+Insertion Sort,random,23
57600,Hybrid Merge+Insertion Sort,random,23
57700,Hybrid Merge+Insertion Sort,random,23
57800,Hybrid Merge+Insertion Sort,random,23
57900,Hybrid Merge+Insertion Sort,random,23
58000,Hybrid Merge+Insertion Sort,random,23
58100,Hybrid Merge+Insertion Sort,random,23
58200,Hybrid Merge+Insertion Sort,random,23
58300,Hybrid Merge+Insertion Sort,random,23
